Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,37856121
"Population, total",SP.POP.TOTL,Albania,ALB,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,43294546
"Population, total",SP.POP.TOTL,American Samoa,ASM,50209
"Population, total",SP.POP.TOTL,Andorra,AND,76474
"Population, total",SP.POP.TOTL,Angola,AGO,32375632
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,91364
"Population, total",SP.POP.TOTL,Argentina,ARG,44973465
"Population, total",SP.POP.TOTL,Armenia,ARM,2962500
"Population, total",SP.POP.TOTL,Aruba,ABW,109203
"Population, total",SP.POP.TOTL,Australia,AUS,25334826
"Population, total",SP.POP.TOTL,Austria,AUT,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,394675
"Population, total",SP.POP.TOTL,Bahrain,BHR,1483756
"Population, total",SP.POP.TOTL,Bangladesh,BGD,164913055
"Population, total",SP.POP.TOTL,Barbados,BRB,281207
"Population, total",SP.POP.TOTL,Belarus,BLR,9419758
"Population, total",SP.POP.TOTL,Belgium,BEL,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,385829
"Population, total",SP.POP.TOTL,Benin,BEN,12726755
"Population, total",SP.POP.TOTL,Bermuda,BMU,64107
"Population, total",SP.POP.TOTL,Bhutan,BTN,764824
"Population, total",SP.POP.TOTL,Bolivia,BOL,11671386
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3345533
"Population, total",SP.POP.TOTL,Botswana,BWA,2332083
"Population, total",SP.POP.TOTL,Brazil,BRA,207455459
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,36395
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,442680
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6616726
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,20961952
"Population, total",SP.POP.TOTL,Burundi,BDI,12255336
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,514104
"Population, total",SP.POP.TOTL,Cambodia,KHM,16481304
"Population, total",SP.POP.TOTL,Cameroon,CMR,25506095
"Population, total",SP.POP.TOTL,Canada,CAN,37618495
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,67327
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4944703
"Population, total",SP.POP.TOTL,Chad,TCD,16685223
"Population, total",SP.POP.TOTL,Channel Islands,CHI,165639
"Population, total",SP.POP.TOTL,Chile,CHL,19197744
"Population, total",SP.POP.TOTL,China,CHN,1407745000
"Population, total",SP.POP.TOTL,Colombia,COL,49907985
"Population, total",SP.POP.TOTL,Comoros,COM,786578
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,92947442
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5616661
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4999553
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,28193009
"Population, total",SP.POP.TOTL,Croatia,HRV,3949390
"Population, total",SP.POP.TOTL,Cuba,CUB,11202846
"Population, total",SP.POP.TOTL,Curacao,CUW,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1286671
"Population, total",SP.POP.TOTL,Czechia,CZE,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,1088709
"Population, total",SP.POP.TOTL,Dominica,DMA,67880
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10894043
"Population, total",SP.POP.TOTL,Ecuador,ECU,17340021
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,107553158
"Population, total",SP.POP.TOTL,El Salvador,SLV,6222318
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1670177
"Population, total",SP.POP.TOTL,Eritrea,ERI,3240194
"Population, total",SP.POP.TOTL,Estonia,EST,1326898
"Population, total",SP.POP.TOTL,Ethiopia,ETH,115737383
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,51793
"Population, total",SP.POP.TOTL,Fiji,FJI,914899
"Population, total",SP.POP.TOTL,Finland,FIN,5521606
"Population, total",SP.POP.TOTL,France,FRA,67382061
"Population, total",SP.POP.TOTL,French Polynesia,PYF,279034
"Population, total",SP.POP.TOTL,Gabon,GAB,2267706
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2456844
"Population, total",SP.POP.TOTL,Georgia,GEO,3720161
"Population, total",SP.POP.TOTL,Germany,DEU,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,31258945
"Population, total",SP.POP.TOTL,Gibraltar,GIB,35494
"Population, total",SP.POP.TOTL,Greece,GRC,10721582
"Population, total",SP.POP.TOTL,Greenland,GRL,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,115981
"Population, total",SP.POP.TOTL,Guam,GUM,161808
"Population, total",SP.POP.TOTL,Guatemala,GTM,17103803
"Population, total",SP.POP.TOTL,Guinea,GIN,13034346
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1967696
